date,season,week,week_day,color,rank,description
20130817,OrdinaryTime,w18,#<DayOfWeek:0x007ff66a93e898>,green,Weekday,"Saturday in the 18th Week of Ordinary Time"
20130818,OrdinaryTime,w19,#<DayOfWeek:0x007ff66716a930>,green,Sunday,"Sunday in the 19th Week of Ordinary Time"
20130819,OrdinaryTime,w19,#<DayOfWeek:0x007ff662c11000>,green,Opt. Mem.,"John Eudes, P"
20130820,OrdinaryTime,w19,#<DayOfWeek:0x007ff6641e8298>,white,Memorial,"Bernard, Ab & D"
20130821,OrdinaryTime,w19,#<DayOfWeek:0x007ff664153e68>,white,Memorial,"Pius X, Po"
20130822,OrdinaryTime,w19,#<DayOfWeek:0x007ff664234e90>,white,Memorial,"Queenship of Mary"
20130823,OrdinaryTime,w19,#<DayOfWeek:0x007ff66a847688>,green,Opt. Mem.,"Rose of Lima, V"
20130824,OrdinaryTime,w19,#<DayOfWeek:0x007ff66a834498>,red,Feast,"Bartholomew, Ap"
20130825,OrdinaryTime,w20,#<DayOfWeek:0x007ff66a8211b8>,green,Sunday,"Sunday in the 20th Week of Ordinary Time"
20130826,OrdinaryTime,w20,#<DayOfWeek:0x007ff66a80e1d0>,green,Weekday,"Monday in the 20th Week of Ordinary Time"
20130827,OrdinaryTime,w20,#<DayOfWeek:0x007ff66a8d6ae0>,white,Memorial,"Monica"
20130828,OrdinaryTime,w20,#<DayOfWeek:0x007ff668627b70>,white,Memorial,"Augustine, B & D"
20130829,OrdinaryTime,w20,#<DayOfWeek:0x007ff6686149f8>,red,Memorial,"Beheading of John the Baptist, M"
20130830,OrdinaryTime,w20,#<DayOfWeek:0x007ff6686ff520>,green,Weekday,"Friday in the 20th Week of Ordinary Time"
20130831,OrdinaryTime,w20,#<DayOfWeek:0x007ff66a967d60>,green,Weekday,"Saturday in the 20th Week of Ordinary Time"
20130901,OrdinaryTime,w21,#<DayOfWeek:0x007ff668ba03b8>,green,Sunday,"Sunday in the 21st Week of Ordinary Time"
20130902,OrdinaryTime,w21,#<DayOfWeek:0x007ff66a98f478>,green,Weekday,"Monday in the 21st Week of Ordinary Time"
20130903,OrdinaryTime,w21,#<DayOfWeek:0x007ff66a0e8360>,white,Memorial,"Gregory the Great, Po & D"
20130904,OrdinaryTime,w21,#<DayOfWeek:0x007ff662c13c10>,green,Weekday,"Wednesday in the 21st Week of Ordinary Time"
20130905,OrdinaryTime,w21,#<DayOfWeek:0x007ff662bb7500>,green,Weekday,"Thursday in the 21st Week of Ordinary Time"
20130906,OrdinaryTime,w21,#<DayOfWeek:0x007ff66167dba8>,green,Weekday,"Friday in the 21st Week of Ordinary Time"
20130907,OrdinaryTime,w21,#<DayOfWeek:0x007ff665afd8a0>,green,Weekday,"Saturday in the 21st Week of Ordinary Time"
20130908,OrdinaryTime,w22,#<DayOfWeek:0x007ff668da1220>,green,Sunday,"Sunday in the 22nd Week of Ordinary Time"
20130909,OrdinaryTime,w22,#<DayOfWeek:0x007ff6686c5320>,white,Memorial,"Peter Claver, P"
20130910,OrdinaryTime,w22,#<DayOfWeek:0x007ff6687db688>,green,Weekday,"Tuesday in the 22nd Week of Ordinary Time"
20130911,OrdinaryTime,w22,#<DayOfWeek:0x007ff6686aea80>,green,Weekday,"Wednesday in the 22nd Week of Ordinary Time"
20130912,OrdinaryTime,w22,#<DayOfWeek:0x007ff6684653c8>,green,Opt. Mem.,"The Most Name of the Blessed Virgin Mary"
20130913,OrdinaryTime,w22,#<DayOfWeek:0x007ff66981bd68>,white,Memorial,"John Chrysostom, B & D"
20130914,OrdinaryTime,w22,#<DayOfWeek:0x007ff66a017170>,red,Feast,"Triumph of the Cross"
20130915,OrdinaryTime,w23,#<DayOfWeek:0x007ff66a035a30>,green,Sunday,"Sunday in the 23rd Week of Ordinary Time"
20130916,OrdinaryTime,w23,#<DayOfWeek:0x007ff66a079a78>,red,Memorial,"Cornelius, Po & M, and Cyprian, B & M "
20130917,OrdinaryTime,w23,#<DayOfWeek:0x007ff66a09b240>,green,Opt. Mem.,"Robert Bellarmine, B & D"
20130918,OrdinaryTime,w23,#<DayOfWeek:0x007ff66a0b2350>,green,Weekday,"Wednesday in the 23rd Week of Ordinary Time"
20130919,OrdinaryTime,w23,#<DayOfWeek:0x007ff66a0d20b0>,green,Opt. Mem.,"Janurius, B & M"
20130920,OrdinaryTime,w23,#<DayOfWeek:0x007ff66a0e92d8>,red,Memorial,"Andrew Kim Taegon, P & M, Paul Chong Hasang, M, & companions, Mm"
20130921,OrdinaryTime,w23,#<DayOfWeek:0x007ff66a1b73b8>,red,Feast,"Matthew, Ap & Evangelist"
20130922,OrdinaryTime,w24,#<DayOfWeek:0x007ff668dcdf00>,green,Sunday,"Sunday in the 24th Week of Ordinary Time"
20130923,OrdinaryTime,w24,#<DayOfWeek:0x007ff668e22528>,green,Weekday,"Monday in the 24th Week of Ordinary Time"
20130924,OrdinaryTime,w24,#<DayOfWeek:0x007ff668df1cc0>,green,Weekday,"Tuesday in the 24th Week of Ordinary Time"
20130925,OrdinaryTime,w24,#<DayOfWeek:0x007ff668e53b28>,green,Weekday,"Wednesday in the 24th Week of Ordinary Time"
20130926,OrdinaryTime,w24,#<DayOfWeek:0x007ff668c1b310>,green,Opt. Mem.,"Cosmas and Damian, Mm"
20130927,OrdinaryTime,w24,#<DayOfWeek:0x007ff668a3ec90>,white,Memorial,"Vincent de Paul, P"
20130928,OrdinaryTime,w24,#<DayOfWeek:0x007ff66a934550>,green,Opt. Mem.,"Wenceslaus, M; Lawrence Ruiz and companions, Mm"
20130929,OrdinaryTime,w25,#<DayOfWeek:0x007ff66a1b2c78>,green,Sunday,"Sunday in the 25th Week of Ordinary Time"
20130930,OrdinaryTime,w25,#<DayOfWeek:0x007ff66a119e10>,white,Memorial,"Jerome, P & D"
20131001,OrdinaryTime,w25,#<DayOfWeek:0x007ff66a19a858>,white,Memorial,"Theresa of the Child Jesus, V"
20131002,OrdinaryTime,w25,#<DayOfWeek:0x007ff66a40fc28>,white,Memorial,"Guardian Angels"
20131003,OrdinaryTime,w25,#<DayOfWeek:0x007ff66a41c450>,green,Weekday,"Thursday in the 25th Week of Ordinary Time"
20131004,OrdinaryTime,w25,#<DayOfWeek:0x007ff66a2fbdf0>,white,Memorial,"Francis of Assisi, Rel"
20131005,OrdinaryTime,w25,#<DayOfWeek:0x007ff668986410>,green,Weekday,"Saturday in the 25th Week of Ordinary Time"
20131006,OrdinaryTime,w26,#<DayOfWeek:0x007ff66887d0f0>,green,Sunday,"Sunday in the 26th Week of Ordinary Time"
20131007,OrdinaryTime,w26,#<DayOfWeek:0x007ff668891730>,white,Memorial,"Our Lady of the Rosary"
20131008,OrdinaryTime,w26,#<DayOfWeek:0x007ff668812368>,green,Weekday,"Tuesday in the 26th Week of Ordinary Time"
20131009,OrdinaryTime,w26,#<DayOfWeek:0x007ff668826a98>,green,Opt. Mem.,"Denis, B & M, and companions, Mm; John Leonardi, P"
20131010,OrdinaryTime,w26,#<DayOfWeek:0x007ff6687d6c78>,green,Weekday,"Thursday in the 26th Week of Ordinary Time"
20131011,OrdinaryTime,w26,#<DayOfWeek:0x007ff6688d58e0>,green,Weekday,"Friday in the 26th Week of Ordinary Time"
20131012,OrdinaryTime,w26,#<DayOfWeek:0x007ff6688e1fa0>,green,Weekday,"Saturday in the 26th Week of Ordinary Time"
20131013,OrdinaryTime,w27,#<DayOfWeek:0x007ff6688f66f8>,green,Sunday,"Sunday in the 27th Week of Ordinary Time"
20131014,OrdinaryTime,w27,#<DayOfWeek:0x007ff66884bde8>,green,Opt. Mem.,"Callistus I, Po & M"
20131015,OrdinaryTime,w27,#<DayOfWeek:0x007ff668860630>,white,Memorial,"Teresa of Avila, V & D"
20131016,OrdinaryTime,w27,#<DayOfWeek:0x007ff668f50e68>,green,Opt. Mem.,"Hedwig, Rel; Margaret Mary Alacoque, V"
20131017,OrdinaryTime,w27,#<DayOfWeek:0x007ff668f655c0>,red,Memorial,"Ignatius of Antioch, B & M"
20131018,OrdinaryTime,w27,#<DayOfWeek:0x007ff668f79d40>,red,Feast,"Luke, Evangelist"
20131019,OrdinaryTime,w27,#<DayOfWeek:0x007ff668f8e100>,red,Memorial,"Isaac Jogues and John de Brebeuf, P & Mm, and companions, Mm"
20131020,OrdinaryTime,w28,#<DayOfWeek:0x007ff668fa28f8>,green,Sunday,"Sunday in the 28th Week of Ordinary Time"
20131021,OrdinaryTime,w28,#<DayOfWeek:0x007ff66a983e20>,green,Weekday,"Monday in the 28th Week of Ordinary Time"
20131022,OrdinaryTime,w28,#<DayOfWeek:0x007ff668fab548>,green,Weekday,"Tuesday in the 28th Week of Ordinary Time"
20131023,OrdinaryTime,w28,#<DayOfWeek:0x007ff668a4f360>,green,Opt. Mem.,"John of Capistrano, P"
20131024,OrdinaryTime,w28,#<DayOfWeek:0x007ff668a63b58>,green,Opt. Mem.,"Anthony Claret, B"
20131025,OrdinaryTime,w28,#<DayOfWeek:0x007ff668a781e8>,green,Weekday,"Friday in the 28th Week of Ordinary Time"
20131026,OrdinaryTime,w28,#<DayOfWeek:0x007ff668a8c940>,green,Weekday,"Saturday in the 28th Week of Ordinary Time"
20131027,OrdinaryTime,w29,#<DayOfWeek:0x007ff6686cb1d0>,green,Sunday,"Sunday in the 29th Week of Ordinary Time"
20131028,OrdinaryTime,w29,#<DayOfWeek:0x007ff668a9d740>,green,Feast,"Simon and Jude, Ap"
20131029,OrdinaryTime,w29,#<DayOfWeek:0x007ff668ab1ee8>,green,Weekday,"Tuesday in the 29th Week of Ordinary Time"
20131030,OrdinaryTime,w29,#<DayOfWeek:0x007ff668abe710>,green,Weekday,"Wednesday in the 29th Week of Ordinary Time"
20131031,OrdinaryTime,w29,#<DayOfWeek:0x007ff6687dea18>,green,Weekday,"Thursday in the 29th Week of Ordinary Time"
20131101,OrdinaryTime,w29,#<DayOfWeek:0x007ff66862e740>,white,Solemnity,"ALL SAINTS"
20131102,OrdinaryTime,w29,#<DayOfWeek:0x007ff6685b8ce8>,white,Feast,"ALL SOULS"
20131103,OrdinaryTime,w30,#<DayOfWeek:0x007ff668665ba0>,green,Sunday,"Sunday in the 30th Week of Ordinary Time"
20131104,OrdinaryTime,w30,#<DayOfWeek:0x007ff6685a4810>,white,Memorial,"Charles Borromeo, B"
20131105,OrdinaryTime,w30,#<DayOfWeek:0x007ff6686e5648>,green,Weekday,"Tuesday in the 30th Week of Ordinary Time"
20131106,OrdinaryTime,w30,#<DayOfWeek:0x007ff668497f58>,green,Weekday,"Wednesday in the 30th Week of Ordinary Time"
20131107,OrdinaryTime,w30,#<DayOfWeek:0x007ff66a9ab768>,green,Weekday,"Thursday in the 30th Week of Ordinary Time"
20131108,OrdinaryTime,w30,#<DayOfWeek:0x007ff66a9bff88>,green,Weekday,"Friday in the 30th Week of Ordinary Time"
20131109,OrdinaryTime,w30,#<DayOfWeek:0x007ff66a9cc788>,white,Feast,"Dedication of St. John Lateran"
20131110,OrdinaryTime,w31,#<DayOfWeek:0x007ff66879e4e0>,green,Sunday,"Sunday in the 31st Week of Ordinary Time"
20131111,OrdinaryTime,w31,#<DayOfWeek:0x007ff668472e60>,white,Memorial,"Martin of Tours, B"
20131112,OrdinaryTime,w31,#<DayOfWeek:0x007ff668adc508>,red,Memorial,"Josaphat, B & M"
20131113,OrdinaryTime,w31,#<DayOfWeek:0x007ff66a311b28>,white,Memorial,"Frances Xavier Cabrini, V"
20131114,OrdinaryTime,w31,#<DayOfWeek:0x007ff66a326208>,green,Weekday,"Thursday in the 31st Week of Ordinary Time"
20131115,OrdinaryTime,w31,#<DayOfWeek:0x007ff66a33a8c0>,green,Opt. Mem.,"Albert the Great, B & D"
20131116,OrdinaryTime,w31,#<DayOfWeek:0x007ff66a34ef00>,green,Opt. Mem.,"Margaret of Scotland; Gertrude, V"
20131117,OrdinaryTime,w32,#<DayOfWeek:0x007ff66a35b4a8>,green,Sunday,"Sunday in the 32nd Week of Ordinary Time"
20131118,OrdinaryTime,w32,#<DayOfWeek:0x007ff66a36f9d0>,green,Opt. Mem.,"Dedication of Churches of Peter & Paul; Rose Philippine Duchesne, V"
20131119,OrdinaryTime,w32,#<DayOfWeek:0x007ff66a3841c8>,green,Weekday,"Tuesday in the 32nd Week of Ordinary Time"
20131120,OrdinaryTime,w32,#<DayOfWeek:0x007ff66a398970>,green,Weekday,"Wednesday in the 32nd Week of Ordinary Time"
20131121,OrdinaryTime,w32,#<DayOfWeek:0x007ff66a3ad000>,white,Memorial,"Presentation of Mary"
20131122,OrdinaryTime,w32,#<DayOfWeek:0x007ff66a3c1708>,red,Memorial,"Cecilia, V & M"
20131123,OrdinaryTime,w32,#<DayOfWeek:0x007ff6688b4f78>,green,Opt. Mem.,"Clement I, Po & M; Columban, Ab; Bl. Miguel Pro, P & M"
20131124,OrdinaryTime,w33,#<DayOfWeek:0x007ff6689b8550>,green,Sunday,"Sunday in the 33rd Week of Ordinary Time"
20131125,OrdinaryTime,w33,#<DayOfWeek:0x007ff6689c5340>,green,Weekday,"Monday in the 33rd Week of Ordinary Time"
20131126,OrdinaryTime,w33,#<DayOfWeek:0x007ff6689b0580>,green,Weekday,"Tuesday in the 33rd Week of Ordinary Time"
20131127,OrdinaryTime,w33,#<DayOfWeek:0x007ff66a3e5b80>,green,Weekday,"Wednesday in the 33rd Week of Ordinary Time"
20131128,OrdinaryTime,w33,#<DayOfWeek:0x007ff66a0ed770>,green,Opt. Mem.,"Thanksgiving"
20131129,OrdinaryTime,w33,#<DayOfWeek:0x007ff668e04b90>,green,Weekday,"Friday in the 33rd Week of Ordinary Time"
20131130,OrdinaryTime,w33,#<DayOfWeek:0x007ff668c00f38>,red,Feast,"Andrew, Ap"
20131201,Advent,w1,#<DayOfWeek:0x007ff668b97790>,purple,Sunday,"First Sunday of Advent"
20131202,Advent,w1,#<DayOfWeek:0x007ff668c68638>,purple,Weekday,"Monday in the 1st Week of Advent"
20131203,Advent,w1,#<DayOfWeek:0x007ff668a19cb0>,white,Memorial,"Frances Xavier, P"
20131204,Advent,w1,#<DayOfWeek:0x007ff668a26b40>,purple,Opt. Mem.,"John Damascene, P & D"
20131205,Advent,w1,#<DayOfWeek:0x007ff668db92f8>,purple,Weekday,"Thursday in the 1st Week of Advent"
20131206,Advent,w1,#<DayOfWeek:0x007ff668aebe90>,purple,Opt. Mem.,"Nicholas, B"
20131207,Advent,w1,#<DayOfWeek:0x007ff66847ac50>,white,Memorial,"Ambrose, B & D"
20131208,Advent,w2,#<DayOfWeek:0x007ff668705268>,purple,Sunday,"Secound Sunday of Advent"
20131209,Advent,w2,#<DayOfWeek:0x007ff66861bc58>,purple,Opt. Mem.,"Bl. Juan Diego"
20131210,Advent,w2,#<DayOfWeek:0x007ff66aa57d38>,purple,Weekday,"Tuesday in the 2nd Week of Advent"
20131211,Advent,w2,#<DayOfWeek:0x007ff66a9e32f8>,purple,Opt. Mem.,"Damasus I, Po"
20131212,Advent,w2,#<DayOfWeek:0x007ff66a819468>,white,Feast,"Our Lady of Guadalupe, BVM"
20131213,Advent,w2,#<DayOfWeek:0x007ff66a825d58>,red,Memorial,"Lucy, V & M"
20131214,Advent,w2,#<DayOfWeek:0x007ff66a83a5f0>,white,Memorial,"John of the Cross, P & D"
20131215,Advent,w3,#<DayOfWeek:0x007ff66a84ed98>,purple,Sunday,"Gaudete Sunday of Advent"
20131216,Advent,w3,#<DayOfWeek:0x007ff6647708c8>,purple,Weekday,"Monday in the 3rd Week of Advent"
20131217,Advent,w3,#<DayOfWeek:0x007ff6646a0600>,purple,Weekday,"Tuesday in the 3rd Week of Advent"
20131218,Advent,w3,#<DayOfWeek:0x007ff6621b31d0>,purple,Weekday,"Wednesday in the 3rd Week of Advent"
20131219,Advent,w3,#<DayOfWeek:0x007ff662c16280>,purple,Weekday,"Thursday in the 3rd Week of Advent"
20131220,Advent,w3,#<DayOfWeek:0x007ff6674afe60>,purple,Weekday,"Friday in the 3rd Week of Advent"
20131221,Advent,w3,#<DayOfWeek:0x007ff66a94ddc0>,purple,Commem.,"Peter Canisius, P & D"
20131222,Advent,w4,#<DayOfWeek:0x007ff668679858>,purple,Sunday,"Sunday in the 4th Week of Advent"
20131223,Advent,w4,#<DayOfWeek:0x007ff6687173f0>,purple,Commem.,"John of Kanty"
20131224,Advent,w4,#<DayOfWeek:0x007ff66a90b290>,purple,Weekday,"Tuesday in the 4th Week of Advent"
20131225,Christmas,w0,#<DayOfWeek:0x007ff668728560>,white,Solemnity,"CHRISTMAS"
20131226,Christmas,w1,#<DayOfWeek:0x007ff668730c88>,red,Feast,"Stephen, M"
20131227,Christmas,w1,#<DayOfWeek:0x007ff6687455e8>,white,Feast,"John, Ap and Evangelist"
20131228,Christmas,w1,#<DayOfWeek:0x007ff6685cf588>,red,Feast,"Holy Innocents, Mm"
20131229,Christmas,w0,#<DayOfWeek:0x007ff668e6afd0>,white,Feast,"HOLY FAMILY"
20131230,Christmas,w1,#<DayOfWeek:0x007ff668e777d0>,white,Weekday,"Monday in the 1st Week of Christmas"
20131231,Christmas,w1,#<DayOfWeek:0x007ff66a926950>,white,Opt. Mem.,"Sylvester I, Po"
